,,,,,,,
School Name,Collaborative Teachers,Effective School Leadership,Rigorous Instruction,Supportive Environment,Strong Family-Community Ties,Trust,Student Achievement
Brooklyn School for Music & Theatre - [HS] 17K548,3.06,3.15,2.86,3.6,1.63,2.5,3.12
Medgar Evers College Preparatory School - [HS] 17K590,2.77,3.5,3.17,3.26,3.16,1.76,3.85
Clara Barton High School - [HS] 17K600,3.01,3.04,2.62,3.05,3.25,2.16,2.84
Brooklyn Institute for Liberal Arts - [HS] 17K745,3.06,3.58,3.78,3.54,3.41,2.59,3.74
Academy for Health Careers - [HS] 17K751,2.74,2.22,2.17,2.34,1.38,1.11,3.05
It Takes a Village Academy - [HS] 18K563,3.29,1.29,3.85,3.41,2.62,2,3.2
Brooklyn Community High School for Excellence and Equity - [HS] 18K566,3.67,3.27,3.57,3.82,3.55,2.36,3.14
Brooklyn Theatre Arts High School - [HS] 18K567,2.22,2.41,1.91,2.6,2.76,1.91,2.89
Victory Collegiate High School - [HS] 18K576,3.43,3.08,4.41,3.6,3.77,3.44,3.25
High School for Innovation in Advertising and Media - [HS] 18K617,3.25,3.53,3.69,3.56,4.43,4.3,3.12
Cultural Academy for the Arts and Sciences - [HS] 18K629,3.07,3.22,2.48,3.31,3.79,3.24,3.4
High School for Medical Professions - [HS] 18K633,3.53,3.42,3.89,3.17,2.97,3.07,2.99
Academy for Conservation and the Environment - [HS] 18K637,4.35,4.48,4.01,4.16,4.64,4.18,3.72
Urban Action Academy - [HS] 18K642,3.79,3.79,3.69,3.67,3.75,2.93,3.01
Academy for Young Writers - [HS] 19K404,3.32,3.95,3.37,3.49,3.51,3.32,3.42
Spring Creek Community School - [HS] 19K422,3.27,3.5,3.54,3.06,3.39,2.52,2.84
FDNY - Captain Vernon A. Richard High School for Fire and Life Safety - [HS] 19K502,3.61,3.58,2.77,3.85,2.96,3.9,2.88
High School for Civil Rights - [HS] 19K504,3.02,3.17,2.36,2.91,3.01,2.47,3.04
Performing Arts and Technology High School - [HS] 19K507,4.21,4.03,3.64,4.22,4.01,3.94,3.54
World Academy for Total Community Health High School - [HS] 19K510,2.65,3.28,2.12,3.25,3.19,3.11,3
